"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets","2015 Adopted","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast","2020 Forecast"
"Station Capital Maintenance","Fire Paramedic Service","211101XXXX","Emergency Preparedness, Response and Recovery","Fire and Rescue Response","-","881","1,302","2,095","2,852","1,270","6,865"
"General Building Renovation and Refurbishing","Municipal Accommodations","63310000215","Prosperity","Property Asset Management","N/A * ","0","125","500","500","500","500"
"Accommodation Facilities ","Municipal Accommodations","6395000115","Prosperity","Property Asset Management","N/A *","1,550","0","951","1,994","1,863","1,889"
"St. Vital Library - Building System Refurbishment","Municipal Accommodations","6395010115","Prosperity","Property Asset Management","0","850","0","0","0","0","0"
"Millennium Library - HVAC and Temperature Control Improvements","Municipal Accommodations","6395020115","Prosperity","Property Asset Management","0","200","1,239","0","0","0","0"
"Fire / Life Safety / Regulatory Upgrades","Municipal Accommodations","6331000415","Prosperity","Property Asset Management","N/A  * ","275","0","710","720","759","708"
"Energy Conservation","Municipal Accommodations","6331000615","Prosperity","Property Asset Management","N/A *","100","100","150","140","158","130"
"Tenant Improvement Prepayment - Major Department","Municipal Accommodations","6331002315","Prosperity","Property Asset Management","N/A * ","200","200","180","193","155","186"
"Historic Buildings  ","Municipal Accommodations","6331000715","Heritage ","Heritage Conservation","N/A * ","200","200","200","270","214","217"
"Generator Set Replacement and Upgrades","Municipal Accommodations","6331020815","Prosperity","Property Asset Management","100","0","0","200","167","113","136"
"Security / Building Automation System Initiatives","Municipal Accommodations","6331002615","Prosperity","Property Asset Management","1,275","225","140","188","201","196","190"
"Community Centres - Refurbishing and Improvements","Municipal Accommodations","6390000115","Prosperity","Recreation","N/A *","700","700","620","644","673","667"
"Arenas","Municipal Accommodations","6391000115","Prosperity","Recreation","N/A *","725","525","325","525","525","565"
"Indoor Aquatic Facilities","Municipal Accommodations","6392000115","Prosperity","Recreation","N/A *","1,760","1,200","2,230","2,470","2,518","2,516"
"Pan Am Pool - Boiler System Replacement","Municipal Accommodations","6392010114","Prosperity","Recreation","830","770","770","0","0","0","0"
"Pan Am Indoor Pool - Parking Lot Refurbishment","Municipal Accommodations","6392020115","Prosperity","Recreation","0","0","560","301","0","0","0"
"Seven Oaks Indoor Pool - Renewal Plan","Municipal Accommodations","6392030114","Prosperity","Recreation","-","3,729","0","0","0","0","0"
"Outdoor Aquatic Facilities","Municipal Accommodations","6393000115","Prosperity","Recreation","N/A *","330","350","342","340","338","340"
"Community Facilities","Municipal Accommodations","6394000115","Prosperity","Recreation","N/A *","200","200","200","260","212","214"
"Building Asset / Work Management Program","Municipal Accommodations","6390001015","Prosperity","Property Asset Management","N/A*","200","162","152","163","175","170"
"UFF - Hockey Pen Light Standard Replacement","Municipal Accommodations","6390002015","Prosperity","Recreation","N/A*","100","100","100","100","100","100"
"City-Wide Accessibility Program","Municipal Accommodations","6390005015","Prosperity","Neighbourhood Revitalization","N/A*","350","350","350","350","350","350"
"St. James Civic Centre","Municipal Accommodations","6394010115","Prosperity","Recreation","0","0","900","936","1,040","1,040","0"
"City Hall - Building Refurbishment","Municipal Accommodations","6395100115","Prosperity","Property Asset Management","0","450","1,000","1,000","0","0","0"
"East Yard Complex Development","Municipal Accommodations","6331000512","Prosperity","Property Asset Management","49,520","0","0","0","0","0","0"
"Sherbrook Pool Reopening","Municipal Accommodations","6392040115","Prosperity","Recreation","1,821","1,952","0","0","0","0","0"
"Computer Automation","Planning, Property and Development","6361000415","Prosperity","Property Asset Management","N/A * ","0","200","120","144","133","119"
"Riverbank Greenway Programs","Planning, Property and Development","6351300115","Environment","Parks and Urban Forestry","N/A * ","600","443","405","406","411","453"
"Cemeteries - Improvements","Planning, Property and Development","6322100115","Vitality","Cemeteries","N/A * ","410","382","408","400","390","398"
"Downtown Enhancement Program","Planning, Property and Development","6351800115","Creativity","City Beautification","N/A * ","400","400","400","400","400","400"
"BIZ Zones, Image Routes and Neighbourhood Main Streets","Planning, Property and Development","6351241515","Creativity","City Beautification","N/A *","400","400","400","400","400","400"
"Public Art Strategy","Planning, Property and Development","6351400715","Creativity","City Beautification","N/A * ","500","500","500","500","500","500"
"Land Acquisition for General Unspecified Purposes","Planning, Property and Development","6321100115","Prosperity","Property Asset Management","N/A *","150","150","300","240","228","274"
"Developer Payback","Planning, Property and Development","6351000215","Environment","Parks and Urban Forestry","N/A * ","0","275","280","278","292","274"
"Chornick Park Improvements - Phase Two","Planning, Property and Development","6351801015","Recreation","Recreation","0","520","0","0","0","0","0"
"Riverbank Stabilization - Physical Asset Protection","Planning, Property and Development","6351300215","Environment","Parks and Urban Forestry","N/A * ","1,400","1,000","1,000","1,000","1,000","1,038"
"Building Communities Initiative II, Phase Two","Planning, Property and Development","6351200015","Key Directions for Specific City Areas ","Neighbourhood Revitalization","18,700 *","1,300","0","0","0","0","0"
