"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets","2015 Adopted","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast","2020 Forecast"
"Insect Control - Replace 3 Grey Street Operations Building","Public Works","1858000315","Environment","Insect Control","0","300","0","732","0","0","0"
"Urban Forest Enhancement Program","Public Works","1850000215","Environment","Parks and Urban Forestry","N/A *","1,300","1,300","1,300","1,300","1,300","1,300"
"Innovative Transit Program","Transit","4230030114","Environment","Public Transit","N/A *","800","1,000","1,000","1,000","1,000","1,000"
"Transit Building Replacement / Refurbishment ","Transit","4210000314","Environment","Public Transit","47,733","9,869","4,500","4,573","4,506","6,536","6,536"
"Transit Buses","Transit","4210000214","Environment","Public Transit","N/A *","16,767","27,297","23,252","24,889","32,420","28,282"
"Southwest Rapid Transitway (Stage 2) and Pembina Highway Underpass ","Transit","4230010514","Environment","Public Transit","590,000","0","0","0","0","0","0"
"Rapid Transit Planning and Design","Transit","4230010514","Environment","Public Transit","4,200","0","2,500","0","0","0","0"
"Trunk Radio System","Winnipeg Police Service","2202200016","Collaborate to Make Safe Communities","Police Response","0","2,000","5,280","0","0","0","0"
"North Station Information Technology Requirements","Winnipeg Police Service","2201700014","Collaborate to Make Safe Communities","Police Response","0",,"490","0","0","0","0"
"Police Divisions Systems Upgrades","Winnipeg Police Service","2201100014","Collaborate to Make Safe Communities","Police Response","5,166","2,986","1,400","0","0","0","0"
"Radio Upgrade for Districts 3 and 4","Winnipeg Police Service","2202300016","Collaborate to Make Safe Communities","Police Response","0","0","490","0","0","0","0"
"Mobile and Transient Users","Winnipeg Police Service","2202600016","Collaborate to Make Safe Communities","Police Response","0","0","250","0","0","0","0"
"Major Case Management System Expansion","Winnipeg Police Service","2202700017","Collaborate to Make Safe Communities","Police Response","0","0","1,158","0","0","500","0"
"Officer Mobile Video System","Winnipeg Police Service","2202100016","Collaborate to Make Safe Communities","Police Response","0","0","0","1,000","0","0","0"
"Police Headquarters Building Systems Safeguards   ","Winnipeg Police Service","6395200115","Collaborate to Make Safe Communities","Police Response","0","1,700","0","1,000","0","0","0"
"Electronic Ticketing","Winnipeg Police Service","2204100015","Collaborate to Make Safe Communities","Police Response","0","500","0","0","0","0","0"
"East District Police Station","Winnipeg Police Service","6331002815","Collaborate to Make Safe Communities","Police Response","13,925","0","0","0","0","0","0"
"North District Police Station","Winnipeg Police Service","6331003015","Collaborate to Make Safe Communities","Police Response","3,130","0","0","20,188","0","0","0"
"Winnipeg Police Headquarters Redevelopment","Winnipeg Police Service","6331001911","Collaborate to Make Safe Communities","Police Response","*","0","0","0","0","0","0"
"Building Video Surveillance Systems","Winnipeg Police Service","2202400017","Collaborate to Make Safe Communities","Police Response","0","0","0","0","4,160","0","0"
"Intelligence Led Reporting (Phase 2)","Winnipeg Police Service","2202600018","Collaborate to Make Safe Communities","Police Response","0","0","0","0","1,050","0","0"
"WPS Data Integration, Auditing and Quality Solution Tool","Winnipeg Police Service","2202900018","Collaborate to Make Safe Communities","Police Response","0","0","0","0","662","0","0"
"Automated Fingerprint Identification System (AFIS) ","Winnipeg Police Service","2200000714","Collaborate to Make Safe Communities","Police Response","500","0","0","0","0","500","0"
"Technology Upgrades - Information Systems","Winnipeg Police Service","2203200019","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","1,200","0"
"In Car Computing            ","Winnipeg Police Service","22xxxxxx19","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","1,200","0"
"Bomb Unit Truck Replacement","Winnipeg Police Service","2203500019","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","300","0"
"Fire Suppression System","Winnipeg Police Service","22xxxxxx19","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","767","0"
"Next Generation 911","Winnipeg Police Service","2203100019","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","0","800"
"Communication Centre Back Up Site Upgrade","Winnipeg Police Service","2202500020","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","0","400"
"Mobile Radio Replacement","Winnipeg Police Service","22xxxxxx20","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","0","6,400"
"River Patrol Building","Winnipeg Police Service","22xxxxxx20","Collaborate to Make Safe Communities","Police Response","0","0","0","0","0","0","1,820"
"Golf Course Improvements","Winnipeg Golf Services","639xxxxx10","Recreation","Golf Services (SOA)","715","0","0","0","0","0","0"
"Land Drainage and Combined Sewers Outfall Gate Structures","Water and Waste","20785002yy","Environment","Land Drainage and Flood Control","N/A*","1,300","2,400","2,400","2,000","0","0"
"Seine River Waterway Acquisition","Water and Waste","20800001yy","Environment","Land Drainage and Flood Control","N/A*","150","150","150","150","150","150"
"Flood Manual Upgrades","Water and Waste","20700012yy","Environment","Land Drainage and Flood Control","1,988","300","0","0","0","0","0"
"Development Agreement Paybacks","Water and Waste","20770001yy","Environment","Land Drainage and Flood Control","N/A*","500","500","500","500","0","0"
"Outfall Rehabilitation","Water and Waste","20780001yy","Environment","Land Drainage and Flood Control","N/A*","1,200","1,508","2,000","2,000","3,500","3,500"
"Ravelston Deep Pond Landscaping","Water and Waste","2070002515","Environment","Land Drainage and Flood Control","0","370","0","0","0","0","0"
"Oversized Land Drainage Pipe to Service Future Almey Avenue","Water and Waste","2070002615","Environment","Land Drainage and Flood Control","-","275","0","0","0","0","0"
"Biosolids - Alternative Disposal Delivery and Management System","Water and Waste","203110004B","Environment","Wastewater","49,644","20,000","182,500","22,000","0","0","0"
"Wastewater System Security Upgrades","Water and Waste","20300015yy","Environment","Wastewater","N/A *","0","0","0","500","500","500"
"NEWPCC - Nutrient Removal / Upgrade","Water and Waste","203110013B","Environment","Wastewater","43,214","100,000","426,156","0","0","0","0"
"South End Water Pollution Control Centre (SEWPCC) - Nutrient Removal / Expansion ","Water and Waste","203200xxyy","Environment","Wastewater","247,250","88,350","0","0","0","0","0"
"West End Water Pollution Control Centre (WEWPCC) - Settling Improvement","Water and Waste","2033000913","Environment","Wastewater","750","500","0","0","0","0","0"
"Water Pollution Control Centres (WPCC) - Distributed Control System (DCS) and Human Machine Interface (HMI) Upgrades","Water and Waste","2040000613","Environment","Wastewater","5,000","3,000","0","0","0","0","0"
"WPCC - Asset Refurbishment and Replacement Project","Water and Waste","20300005yy","Environment","Wastewater","29,358","5,000","5,000","5,000","2,000","2,000","2,000"
"WPCC - Re-roofing","Water and Waste","20300010yy","Environment","Wastewater","N/A *","475","0","0","0","0","0"
"Arc Flash Hazard Analysis and Remediation","Water and Waste","20300018yy","Environment","Wastewater","898","1,110","1,127","367","0","0","0"
"Lift Stations Upgrading","Water and Waste","20350001yy","Environment","Wastewater","N/A *","2,000","2,200","2,332","2,471","2,620","2,700"
"Fernbank Interceptor","Water and Waste","2037001116","Environment","Wastewater","-","0","0","0","0","0","8,800"
"Warde Interceptor Extension","Water and Waste","2037000516","Environment","Wastewater","-","3,500","0","0","0","0","0"
"Plessis Road Interceptor","Water and Waste","2037001317","Environment","Wastewater","-","0","0","7,300","0","0","0"
"Kenaston Boulevard Interceptor","Water and Waste","2037001417","Environment","Wastewater","-","0","0","5,300","0","0","0"
